Pincode,Latitude,Longitude,Location,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
600001,13.101640633333332,80.2852611,"Mannady,Monegar Choultry,Seven Wells",3.0,Train Station,Indian Restaurant,Fast Food Restaurant,Department Store,Donut Shop,Flower Shop,Flea Market,Fish Market,Field,Farmers Market
600002,13.087211233333335,80.211609,"Anna Road H O,Government Estate,Pudupet",4.0,Indian Restaurant,Fast Food Restaurant,Chinese Restaurant,Vegetarian / Vegan Restaurant,Department Store,Coffee Shop,Café,Bakery,BBQ Joint,Ice Cream Shop
600004,13.038555733333334,80.2691617,"Luz Church Road,Royapettah High Road,Santhome",4.0,Indian Restaurant,Vegetarian / Vegan Restaurant,Coffee Shop,Café,Pizza Place,Clothing Store,Department Store,Park,Chinese Restaurant,Seafood Restaurant
600005,13.038982875,80.25261247647028,"Chepauk,Madras Presidency College,Madras University,Parthasarathy Koil",4.0,Indian Restaurant,Hotel,Chinese Restaurant,Italian Restaurant,Lounge,Café,Pizza Place,Restaurant,Japanese Restaurant,Juice Bar
600006,13.056575625,80.25079941443467,"Cathedral,Greams Road,Shastri Bhavan,Teynampet West",4.0,Indian Restaurant,Café,Chinese Restaurant,Multiplex,Ice Cream Shop,Coffee Shop,Sandwich Place,Italian Restaurant,Hotel,Middle Eastern Restaurant
600007,13.0842952,80.2622738,Vepery,4.0,Indian Restaurant,Hotel,Vegetarian / Vegan Restaurant,Pizza Place,Diner,Soccer Stadium,Movie Theater,Farmers Market,Italian Restaurant,Department Store
600008,13.073820099999999,80.25574565,"Egmore,Egmore High Road",4.0,Indian Restaurant,Hotel,Shopping Mall,Café,Seafood Restaurant,Bakery,Pizza Place,Bowling Alley,Farmers Market,Pool Hall
600009,13.0801721,80.2838331,Fort St George,1.0,Electronics Store,Hotel,Train Station,Bookstore,Market,Harbor / Marina,Museum,Bus Station,Campground,Yoga Studio
600010,13.08699932,80.23295474,"Kilpauk,Kilpauk Medical College,Kilpauk West,Medavakkam Tank Road,New Avadi Road",4.0,Indian Restaurant,Café,Coffee Shop,Daycare,Department Store,Fast Food Restaurant,Middle Eastern Restaurant,Restaurant,Electronics Store,Flea Market
600011,13.112356400000001,80.2429547,"Perambur,Perambur North,Sembiam",1.0,Department Store,Snack Place,Restaurant,Train Station,Pizza Place,Multiplex,Chinese Restaurant,Shopping Mall,Bus Station,Bakery
600012,13.101489860000001,80.2595588,"Kosapet,Perambur Barracks,Perambur High Road,Pulianthope,Venkatesapuram",1.0,Pizza Place,Train Station,Platform,Fast Food Restaurant,Snack Place,Yoga Studio,Dessert Shop,Fish Market,Field,Farmers Market
600013,13.116501499999998,80.28636706666667,"Kalmandapam,Rayapuram Madras,Rayapuram Market",3.0,Train Station,Bakery,Department Store,Dessert Shop,Movie Theater,Yoga Studio,Electronics Store,Flea Market,Fish Market,Field
600014,12.98139105,80.25314455,"Pudupakkam,Royapettah,Triplicane South",1.0,Indian Restaurant,Snack Place,Department Store,Hotel,Multiplex,Office,Middle Eastern Restaurant,Fast Food Restaurant,Cosmetics Shop,Scenic Lookout
600015,13.020817,80.2239536,"Saidapet Madras,Saidapet West",1.0,Chinese Restaurant,Indian Restaurant,South Indian Restaurant,Pizza Place,Movie Theater,Bus Station,Fish Market,Breakfast Spot,Bakery,BBQ Joint
600016,12.9948658,80.19699925,"Alandur,St Thomas Mount H O",4.0,Indian Restaurant,Pizza Place,South Indian Restaurant,Metro Station,Burrito Place,Breakfast Spot,Bakery,Hotel Bar,Train Station,Electronics Store
600017,13.042169099999999,80.23385241067942,"Habibullah Road,Hindi Prachar Sabha,Panagal Park,Usman Road",4.0,Indian Restaurant,Clothing Store,Jewelry Store,South Indian Restaurant,Coffee Shop,Hotel,Restaurant,Department Store,Miscellaneous Shop,Park
600018,13.03859595,80.247707975,"Chamiers Road,Eldams Road,Teynampet,Teynampet South",4.0,Indian Restaurant,Hotel,Lounge,Café,Italian Restaurant,Restaurant,Japanese Restaurant,Gym / Fitness Center,Thai Restaurant,Pub
